feature,importance
tool_id_encoded,34251400.0
Injection_pressure__min_30m,916518.0
Extruder_torque__max_30m,779336.0
Scrap_counter__min_15m,714522.0
Peak_pressure_position__max_30m,587279.0
Shot_counter__min_30m,521459.0
Dosage_time__max_15m,444360.796875
Cushion__std_15m,418758.0
Ejector_fix_deviation_torque__std_30m,413869.6015625
Extruder_torque__last_15m,364394.0
Peak_pressure_position__min_15m,333808.0
Scrap_counter__max_15m,305991.0
Cushion__mean_30m,304619.5
Extruder_torque__max_15m,266103.0
Extruder_torque__min_15m,259220.703125
Extruder_start_position__mean_15m,250311.0
Peak_pressure_position__std_15m,230156.0
Cushion__min_30m,228845.5
Cushion__max_15m,220416.0
Shot_counter__max_30m,204748.8984375
Ejector_fix_deviation_torque__min_30m,182927.8984375
Scrap_counter__last_15m,151165.0
Cyl_tmp_z5__min_30m,148973.0
Cyl_tmp_z1__min_30m,147588.796875
Cyl_tmp_z8__mean_30m,141654.80078125
Dosage_time__mean_30m,115758.0
Cyl_tmp_z8__std_15m,114309.99609375
Cyl_tmp_z1__std_30m,102310.0
Switch_pressure__mean_30m,93700.296875
Ejector_fix_deviation_torque__max_30m,89212.0
Cushion__max_5m,83494.6015625
Cyl_tmp_z5__max_15m,82026.3984375
Cyl_tmp_z8__min_30m,78381.1015625
Injection_pressure__mean_30m,76166.80078125
Injection_pressure__last_15m,74991.1015625
Cycle_time__max_30m,70915.0
Cushion__min_15m,64150.80078125
Peak_pressure_position__std_30m,51266.6015625
Cyl_tmp_z3__mean_15m,46251.30078125
Cyl_tmp_z1__min_15m,44054.3984375
Cyl_tmp_z8__last_15m,41950.69921875
Cyl_tmp_z4__mean_30m,41781.30078125
Extruder_start_position__max_15m,40193.6015625
Cycle_time__mean_15m,32986.30078125
Ejector_fix_deviation_torque__min_15m,32926.3984375
Cyl_tmp_z4__mean_15m,32025.80078125
Scrap_counter__max_5m,24757.30078125
Cyl_tmp_z8__mean_15m,20243.099609375
Time_on_machine__min_5m,0.0
Time_on_machine__min_30m,0.0
Cycle_time__last_5m,0.0
Cycle_time__last_30m,0.0
Cycle_time__last_15m,0.0
Cushion__std_5m,0.0
Cushion__std_30m,0.0
Cushion__last_15m,0.0
Cushion__min_5m,0.0
machine_id_encoded,0.0
